rule,wolfram_class,best_affine,perturbation_magnitude,perturbation_weight,perturbation_coherence,is_affine,g_entropy,g_entropy_std,g_corr_length
0,1,0,0,0.0,0.0,True,0.0,0.0,0.0
1,2,0,1,0.125,0.8571428571428572,False,0.5197285148690424,0.15136381856111827,0.9666666666666667
2,2,0,1,0.125,0.7142857142857143,False,0.5930442033066956,0.07803524540179371,1.0
3,2,0,2,0.25,0.8571428571428572,False,0.5724295195381452,0.04822194320067041,1.0
4,2,0,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
5,2,0,2,0.25,0.5714285714285714,False,0.698350831260327,0.05572312875327783,1.0
6,2,0,2,0.25,0.7142857142857143,False,0.5149930006630707,0.07570326896901294,1.0
7,2,1^L,1,0.125,0.7142857142857143,False,0.33365338171844644,0.0481656562747905,1.0
8,1,0,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
9,2,0,2,0.25,0.5714285714285714,False,0.7030092348064286,0.03618557004009148,1.0
10,2,0,2,0.25,0.4285714285714286,False,0.5331833879278627,0.07902113484070196,1.0
11,2,1^L,1,0.125,0.7142857142857143,False,0.8498151166801324,0.06965190147344025,1.0
12,2,0,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
13,2,1^L,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
14,2,1^L,1,0.125,0.8571428571428572,False,0.3044900421663634,0.2169117161850812,2.066666666666667
15,2,1^L,0,0.0,0.0,True,0.0,0.0,0.0
16,0,0,1,0.125,0.7142857142857143,False,0.5803805736188415,0.07833417071199596,1.0
17,0,0,2,0.25,0.5714285714285714,False,0.5395285221367027,0.053631072010251975,1.0
18,3,0,2,0.25,0.4285714285714286,False,0.9540218188680711,0.005365043619306522,1.0
19,2,1^C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
20,0,0,2,0.25,0.4285714285714286,False,0.5015577193047046,0.06603574754062407,1.0
21,0,1^R,1,0.125,0.7142857142857143,False,0.3270716709042349,0.04883976634249021,1.0
22,3,L^C^R,1,0.125,0.8571428571428572,False,0.7877335459589605,0.01491615489801241,1.2333333333333334
23,2,1^L,2,0.25,0.7142857142857143,False,0.0,0.0,0.0
24,2,0,2,0.25,0.7142857142857143,False,0.9791443569713055,0.021848348650814024,1.6333333333333333
25,2,1^C^R,1,0.125,0.8571428571428572,False,0.7254627198968222,0.028743339653494824,1.0
26,2,L^R,1,0.125,0.7142857142857143,False,0.8896153296319272,0.03068532782556261,1.0
27,2,1^L,2,0.25,0.4285714285714286,False,0.9655620626807375,0.024950061264961763,1.0
28,2,L^C,1,0.125,0.7142857142857143,False,0.5102289063781807,0.08534351346478876,1.0
29,2,1^L,2,0.25,0.4285714285714286,False,0.955904765911327,0.02650531220592583,1.0
30,3,1^L,2,0.25,0.5714285714285714,False,0.9483945286580241,0.003614860911242738,1.0
31,0,1^L,1,0.125,0.7142857142857143,False,0.5329061883218171,0.08734898850402013,1.0
32,1,0,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
33,2,0,2,0.25,0.5714285714285714,False,0.0,0.0,0.0
34,2,0,2,0.25,0.4285714285714286,False,0.8999581370329449,0.05931632907593854,1.0333333333333334
35,2,1^C,1,0.125,0.7142857142857143,False,0.9945042529306893,0.005141254039096171,1.0
36,2,0,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
37,2,1^L^R,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
38,2,C^R,1,0.125,0.7142857142857143,False,0.5356998405556276,0.056597759653296796,1.0
39,0,1^L,2,0.25,0.4285714285714286,False,0.9310734963980252,0.03479964359279124,1.0
40,1,0,2,0.25,0.4285714285714286,False,0.0,0.0,0.0
41,4,1^L^C^R,1,0.125,0.7142857142857143,False,0.2840901300041675,0.026981211850702718,1.0
42,2,R,1,0.125,0.8571428571428572,False,0.47648792158999065,0.1345584250566632,1.5
43,2,1^L,2,0.25,0.4285714285714286,False,0.33716338432835946,0.22533744391166735,2.1
44,2,L^C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
45,3,1^L,2,0.25,0.4285714285714286,False,0.9398457333480272,0.005473187890564488,1.8
46,2,1^L,2,0.25,0.5714285714285714,False,0.8531630881366543,0.03960763305712324,1.0
47,0,1^L,1,0.125,0.7142857142857143,False,0.9445826670073136,0.03495012804314689,1.0
48,0,0,2,0.25,0.7142857142857143,False,0.898187426403114,0.05123428009215243,1.0
49,0,1^C,1,0.125,0.7142857142857143,False,0.9940642181702811,0.006977400957003724,1.0
50,2,1^C,1,0.125,0.8571428571428572,False,0.0,0.0,0.0
51,2,1^C,0,0.0,0.0,True,0.0,0.0,0.0
52,0,L^C,1,0.125,0.7142857142857143,False,0.5324353207685023,0.0718497144895114,1.0
53,0,1^C,2,0.25,0.7142857142857143,False,0.9233553803491463,0.03073040883519437,1.0
54,4,1^C,2,0.25,0.5714285714285714,False,0.8186857734235441,0.031492624391447246,1.0333333333333334
55,0,1^C,1,0.125,0.7142857142857143,False,0.0,0.0,0.0
56,2,L^C,1,0.125,0.7142857142857143,False,0.7847177383089543,0.10068032979226518,1.3
57,2,1^C,2,0.25,0.4285714285714286,False,0.3332402842357196,0.2386268937842681,1.8666666666666667
