rule,polynomial,degree_profile,algebraic_degree,n_monomials,support_indices
0,0,"(0,0,0,0)",-1,0,
1,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,3,3,1)",3,8,0|1|2|3|4|5|6|7
2,R ⊕ LR ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,4|5|6|7
3,1 ⊕ L ⊕ C ⊕ LC,"(1,2,1,0)",2,4,0|1|2|3
4,C ⊕ LC ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,2|3|6|7
5,1 ⊕ L ⊕ R ⊕ LR,"(1,2,1,0)",2,4,0|1|4|5
6,C ⊕ LC ⊕ R ⊕ LR,"(0,2,2,0)",2,4,2|3|4|5
7,1 ⊕ L ⊕ CR ⊕ LCR,"(1,1,1,1)",3,4,0|1|6|7
8,CR ⊕ LCR,"(0,0,1,1)",3,2,6|7
9,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ LR,"(1,3,2,0)",2,6,0|1|2|3|4|5
10,R ⊕ LR,"(0,1,1,0)",2,2,4|5
11,1 ⊕ L ⊕ C ⊕ LC ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|1|2|3|6|7
12,C ⊕ LC,"(0,1,1,0)",2,2,2|3
13,1 ⊕ L ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|1|4|5|6|7
14,C ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(0,2,3,1)",3,6,2|3|4|5|6|7
15,1 ⊕ L,"(1,1,0,0)",1,2,0|1
16,L ⊕ LC ⊕ LR ⊕ LCR,"(0,1,2,1)",3,4,1|3|5|7
17,1 ⊕ C ⊕ R ⊕ CR,"(1,2,1,0)",2,4,0|2|4|6
18,L ⊕ LC ⊕ R ⊕ CR,"(0,2,2,0)",2,4,1|3|4|6
19,1 ⊕ C ⊕ LR ⊕ LCR,"(1,1,1,1)",3,4,0|2|5|7
20,L ⊕ C ⊕ LR ⊕ CR,"(0,2,2,0)",2,4,1|2|5|6
21,1 ⊕ LC ⊕ R ⊕ LCR,"(1,1,1,1)",3,4,0|3|4|7
22,L ⊕ C ⊕ R ⊕ LCR,"(0,3,0,1)",3,4,1|2|4|7
23,1 ⊕ LC ⊕ LR ⊕ CR,"(1,0,3,0)",2,4,0|3|5|6
24,L ⊕ LC ⊕ LR ⊕ CR,"(0,1,3,0)",2,4,1|3|5|6
25,1 ⊕ C ⊕ R ⊕ LCR,"(1,2,0,1)",3,4,0|2|4|7
26,L ⊕ LC ⊕ R ⊕ LCR,"(0,2,1,1)",3,4,1|3|4|7
27,1 ⊕ C ⊕ LR ⊕ CR,"(1,1,2,0)",2,4,0|2|5|6
28,L ⊕ C ⊕ LR ⊕ LCR,"(0,2,1,1)",3,4,1|2|5|7
29,1 ⊕ LC ⊕ R ⊕ CR,"(1,1,2,0)",2,4,0|3|4|6
30,L ⊕ C ⊕ R ⊕ CR,"(0,3,1,0)",2,4,1|2|4|6
31,1 ⊕ LC ⊕ LR ⊕ LCR,"(1,0,2,1)",3,4,0|3|5|7
32,LR ⊕ LCR,"(0,0,1,1)",3,2,5|7
33,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ CR,"(1,3,2,0)",2,6,0|1|2|3|4|6
34,R ⊕ CR,"(0,1,1,0)",2,2,4|6
35,1 ⊕ L ⊕ C ⊕ LC ⊕ LR ⊕ LCR,"(1,2,2,1)",3,6,0|1|2|3|5|7
36,C ⊕ LC ⊕ LR ⊕ CR,"(0,1,3,0)",2,4,2|3|5|6
37,1 ⊕ L ⊕ R ⊕ LCR,"(1,2,0,1)",3,4,0|1|4|7
38,C ⊕ LC ⊕ R ⊕ LCR,"(0,2,1,1)",3,4,2|3|4|7
39,1 ⊕ L ⊕ LR ⊕ CR,"(1,1,2,0)",2,4,0|1|5|6
40,LR ⊕ CR,"(0,0,2,0)",2,2,5|6
41,1 ⊕ L ⊕ C ⊕ LC ⊕ R ⊕ LCR,"(1,3,1,1)",3,6,0|1|2|3|4|7
42,R ⊕ LCR,"(0,1,0,1)",3,2,4|7
43,1 ⊕ L ⊕ C ⊕ LC ⊕ LR ⊕ CR,"(1,2,3,0)",2,6,0|1|2|3|5|6
44,C ⊕ LC ⊕ LR ⊕ LCR,"(0,1,2,1)",3,4,2|3|5|7
45,1 ⊕ L ⊕ R ⊕ CR,"(1,2,1,0)",2,4,0|1|4|6
46,C ⊕ LC ⊕ R ⊕ CR,"(0,2,2,0)",2,4,2|3|4|6
47,1 ⊕ L ⊕ LR ⊕ LCR,"(1,1,1,1)",3,4,0|1|5|7
48,L ⊕ LC,"(0,1,1,0)",2,2,1|3
49,1 ⊕ C ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,2,2,1)",3,6,0|2|4|5|6|7
50,L ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(0,2,3,1)",3,6,1|3|4|5|6|7
51,1 ⊕ C,"(1,1,0,0)",1,2,0|2
52,L ⊕ C ⊕ CR ⊕ LCR,"(0,2,1,1)",3,4,1|2|6|7
53,1 ⊕ LC ⊕ R ⊕ LR,"(1,1,2,0)",2,4,0|3|4|5
54,L ⊕ C ⊕ R ⊕ LR,"(0,3,1,0)",2,4,1|2|4|5
55,1 ⊕ LC ⊕ CR ⊕ LCR,"(1,0,2,1)",3,4,0|3|6|7
56,L ⊕ LC ⊕ CR ⊕ LCR,"(0,1,2,1)",3,4,1|3|6|7
57,1 ⊕ C ⊕ R ⊕ LR,"(1,2,1,0)",2,4,0|2|4|5
58,L ⊕ LC ⊕ R ⊕ LR,"(0,2,2,0)",2,4,1|3|4|5
59,1 ⊕ C ⊕ CR ⊕ LCR,"(1,1,1,1)",3,4,0|2|6|7
60,L ⊕ C,"(0,2,0,0)",1,2,1|2
61,1 ⊕ LC ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(1,1,3,1)",3,6,0|3|4|5|6|7
62,L ⊕ C ⊕ R ⊕ LR ⊕ CR ⊕ LCR,"(0,3,2,1)",3,6,1|2|4|5|6|7
63,1 ⊕ LC,"(1,0,1,0)",2,2,0|3
64,LC ⊕ LCR,"(0,0,1,1)",3,2,3|7
65,1 ⊕ L ⊕ C ⊕ R ⊕ LR ⊕ CR,"(1,3,2,0)",2,6,0|1|2|4|5|6
66,LC ⊕ R ⊕ LR ⊕ CR,"(0,1,3,0)",2,4,3|4|5|6
