rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
0,1,0.0,0.0,0.0,1.0,0.2376237623762376
1,2,0.7389124135064441,0.09052313265160711,1.94,0.8299999999999998,0.4
2,2,0.6013492193996418,0.08690348522456298,1.0,1.0,0.425148514851485
3,2,0.7319115261233429,0.06384882139366849,1.0,0.8503999999999999,0.4613861386138614
4,2,0.8027992066909708,0.11674609446059087,2.0,1.0,0.425940594059406
5,2,0.6445517741168717,0.05853516641964233,1.52,0.8299999999999998,0.3578217821782178
6,2,0.7139741346060887,0.06606206284033421,1.0,0.8401999999999998,0.439009900990099
7,2,0.5379828534009774,0.07601058586162718,2.0,1.0,0.3661386138613862
8,1,0.0,0.0,0.0,1.0,0.2376237623762376
9,2,0.8184434156009042,0.04560641493399205,1.0,0.7483989454584353,0.36811881188118806
10,2,0.54229699930269,0.0878798183868004,1.0,1.0,0.402970297029703
11,2,0.9474680595935461,0.031889509744767966,1.0,1.0,0.42316831683168316
12,2,0.8910169044911217,0.04961012940492472,1.0,1.0,0.4889108910891089
13,2,0.7978229287137708,0.10082248737646753,1.16,1.0,0.40871287128712874
14,2,0.23055366200028785,0.2910639554343007,1.22,1.0,0.2815841584158416
15,2,0.0,0.0,0.0,1.0,0.2376237623762376
16,0,0.5801138789246799,0.07910654795704275,1.0,1.0,0.4184158415841584
17,0,0.7212255384654371,0.06929640628626055,1.0,0.83,0.45227722772277223
18,3,0.8164801168017243,0.007478298649328771,1.0,0.06065967255086318,0.4607920792079207
19,2,0.27297989750552654,0.09561041916440546,1.0,1.0,0.3251485148514851
20,0,0.7243166638338553,0.08386317403986933,1.0,0.8503999999999999,0.4352475247524753
21,0,0.5241666461185241,0.07963150938075937,2.0,1.0,0.360990099009901
22,3,0.5632031191758834,0.007505057185469636,1.06,0.08389517037305166,0.4077227722772277
23,2,0.7174791247552964,0.08855137083290081,1.0,1.0,0.457029702970297
24,2,0.9813910841348519,0.020214561863268247,1.7,1.0,0.4649504950495049
25,2,0.8838806144920579,0.031450220558932256,1.0,0.5553744880827465,0.3714851485148515
26,2,0.9358265385121785,0.033006929019989424,1.12,0.5023063251696386,0.49465346534653465
27,2,0.8404619377474237,0.035985834293135614,1.0,0.8503999999999999,0.4889108910891089
28,2,0.5156320916332937,0.06699620125044393,1.0,0.8299999999999998,0.3823762376237624
29,2,0.8556198716875068,0.0393873071862344,1.0,0.8469999999999999,0.5047524752475248
30,3,0.9889943145335335,0.0011309494826469283,1.08,0.0574657074934968,0.5203960396039604
31,0,0.5754111803072947,0.08347671096513479,1.0,0.8878,0.42118811881188123
32,1,0.0,0.0,0.0,1.0,0.2376237623762376
