degree_profile,n_equiv_classes,wolfram_purity,majority_class,g_entropy_min,g_entropy_max,class_distribution
"(0,0,0,0)",1,1.000,I,0.0000,0.0000,{'I': 1}
"(0,0,0,1)",1,1.000,I,0.0000,0.0000,{'I': 1}
"(0,0,1,0)",2,1.000,I,0.0000,0.0000,{'I': 2}
"(0,0,1,1)",2,1.000,I,0.0000,0.0000,{'I': 2}
"(0,0,2,0)",2,0.500,I,0.0000,0.0000,"{'I': 1, 'II': 1}"
"(0,0,2,1)",2,0.500,I,0.0000,0.0000,"{'I': 1, 'II': 1}"
"(0,0,3,0)",1,1.000,II,0.0000,0.0000,{'II': 1}
"(0,0,3,1)",1,1.000,II,0.0000,0.0000,{'II': 1}
"(0,1,0,0)",2,1.000,II,0.0000,0.0000,{'II': 2}
"(0,1,0,1)",2,1.000,II,0.0000,0.4638,{'II': 2}
"(0,1,1,0)",5,0.800,II,0.0000,0.9891,"{'II': 4, 'IV': 1}"
"(0,1,1,1)",3,1.000,II,0.0000,0.6428,{'II': 3}
"(0,1,2,0)",4,0.750,II,0.0000,0.6956,"{'III': 1, 'II': 3}"
"(0,1,2,1)",5,1.000,II,0.0000,0.8064,{'II': 5}
"(0,1,3,0)",2,1.000,II,0.0000,0.9742,{'II': 2}
"(0,1,3,1)",2,1.000,II,0.0000,0.9637,{'II': 2}
"(0,2,0,0)",2,1.000,III,0.0000,0.0000,{'III': 2}
"(0,2,1,0)",2,1.000,II,0.5427,0.9474,{'II': 2}
"(0,2,1,1)",5,0.600,II,0.5394,0.9386,"{'II': 3, 'IV': 1, 'III': 1}"
"(0,2,2,0)",5,0.800,II,0.0000,0.9543,"{'II': 4, 'III': 1}"
"(0,2,2,1)",2,0.500,II,0.8153,0.9773,"{'II': 1, 'III': 1}"
"(0,2,3,0)",2,1.000,II,0.0000,0.3694,{'II': 2}
"(0,2,3,1)",2,1.000,II,0.0000,0.3594,{'II': 2}
"(0,3,0,0)",1,1.000,III,0.0000,0.0000,{'III': 1}
"(0,3,0,1)",1,1.000,III,0.7878,0.7878,{'III': 1}
"(0,3,1,0)",2,0.500,III,0.8081,0.9491,"{'III': 1, 'IV': 1}"
"(0,3,2,1)",2,1.000,II,0.2990,0.3307,{'II': 2}
"(0,3,3,0)",1,1.000,III,0.8167,0.8167,{'III': 1}
"(1,0,3,0)",1,1.000,II,0.0000,0.0000,{'II': 1}
"(1,1,0,0)",2,1.000,II,0.0000,0.0000,{'II': 2}
"(1,1,1,1)",2,1.000,II,0.0000,0.3382,{'II': 2}
"(1,1,2,0)",2,1.000,II,0.9452,0.9613,{'II': 2}
"(1,2,0,1)",2,1.000,II,0.0001,0.7258,{'II': 2}
"(1,2,1,0)",4,0.750,II,0.2601,0.9372,"{'II': 3, 'III': 1}"
"(1,2,2,1)",3,1.000,II,0.0000,0.9923,{'II': 3}
"(1,2,3,0)",2,1.000,II,0.0000,0.3237,{'II': 2}
"(1,3,0,0)",1,1.000,III,0.0000,0.0000,{'III': 1}
"(1,3,1,1)",2,1.000,II,0.2774,0.8721,{'II': 2}
"(1,3,2,0)",2,1.000,II,0.0000,0.6929,{'II': 2}
"(1,3,3,1)",1,1.000,II,0.5253,0.5253,{'II': 1}
