representative,equivalents,wolfram_class,n_equivalents,g_nonzero_single_cell,g_nonzero_random_frac,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_compressibility_mean,g_periodicity_mode,affine_base,perturbation_weight
0,0|255,I,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.0
1,1|127,II,2,True,1.0,0.5252843456229735,0.10340119439642073,1.0,0.39306930693069303,1,0,0.125
2,2|16|191|247,II,4,True,1.0,0.5835101466046132,0.0808096748598491,1.0,0.4184158415841585,1,0,0.125
3,3|17|63|119,II,4,True,1.0,0.5339624220610006,0.06322073666331096,1.0,0.4051485148514851,1,0,0.25
4,4|223,II,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.125
5,5|95,II,2,True,1.0,0.7067913167609566,0.06860119290557545,1.0,0.45267326732673263,1,0,0.25
6,6|20|159|215,II,4,True,1.0,0.5078285859053353,0.08151205581430042,1.0,0.3726732673267326,1,0,0.25
7,7|21|31|87,II,4,True,1.0,0.33817631810041054,0.046086628508596135,1.0,0.3483168316831683,1,1^L,0.125
8,8|64|239|253,I,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.125
9,9|65|111|125,II,4,True,1.0,0.6928998153023491,0.04222100036302792,1.0,0.380990099009901,1,0,0.25
10,10|80|175|245,II,4,False,1.0,0.5312839233162867,0.08126818573710853,1.0,0.4031683168316832,1,0,0.25
11,11|47|81|117,II,4,True,1.0,0.821516109535844,0.10321149261156914,1.0,0.3942574257425742,1,1^L,0.125
12,12|68|207|221,II,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.25
13,13|69|79|93,II,4,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^L,0.125
14,14|84|143|213,II,4,True,1.0,0.35939957613206475,0.2439162932280201,1.98,0.3182178217821782,1,1^L,0.125
15,15|85,II,2,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^L,0.0
18,18|183,III,2,True,1.0,0.9542864771712832,0.0034391451998232753,1.0,0.4837623762376238,1,0,0.25
19,19|55,II,2,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^C,0.125
22,22|151,III,2,True,1.0,0.7877541637513982,0.012176337098930847,1.22,0.4651485148514851,1,L^C^R,0.125
23,23,II,1,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^L,0.25
24,24|66|189|231,II,4,True,1.0,0.9742413980872594,0.026794014668534323,1.66,0.46118811881188115,1,0,0.25
25,25|61|67|103,II,4,True,1.0,0.7257865063684708,0.02993586974522066,1.0,0.34871287128712875,1,1^C^R,0.125
26,26|82|167|181,II,4,True,1.0,0.893738751968194,0.022068270009603225,1.0,0.5007920792079208,1,L^R,0.125
27,27|39|53|83,II,4,True,1.0,0.9613414324119218,0.023369690539402695,1.0,0.5362376237623764,1,1^L,0.25
28,28|70|157|199,II,4,True,1.0,0.5393515325372638,0.06557250531025921,1.0,0.39168316831683164,1,L^C,0.125
29,29|71,II,2,True,1.0,0.9451528107919462,0.03225319958576094,1.0,0.4481188118811882,1,1^L,0.25
30,30|86|135|149,III,4,True,1.0,0.9491222657563719,0.002771962132436821,1.0,0.5340594059405941,1,1^L,0.25
32,32|251,I,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.125
33,33|123,II,2,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.25
34,34|48|187|243,II,4,True,1.0,0.8893279526141897,0.052600950399677354,1.0,0.4875247524752475,1,0,0.25
35,35|49|59|115,II,4,True,1.0,0.9923058218224277,0.008807986559338262,1.0,0.4746534653465346,1,1^C,0.125
36,36|219,II,2,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.25
37,37|91,II,2,True,1.0,7.611765883750256e-05,0.0005328236118625179,0.0,0.2376237623762376,1,1^L^R,0.125
38,38|52|155|211,II,4,True,1.0,0.5448148272033762,0.0648998299838095,1.04,0.4154455445544554,1,C^R,0.125
40,40|96|235|249,I,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,0,0.25
41,41|97|107|121,II,4,True,1.0,0.2774098567309058,0.029874521111406913,0.96,0.32138613861386134,1,1^L^C^R,0.125
42,42|112|171|241,II,4,False,1.0,0.46380778002832057,0.15184478603064133,1.6,0.3675247524752474,1,R,0.125
43,43|113,II,2,True,0.96,0.3237423529087162,0.23185922232422077,1.88,0.31445544554455446,1,1^L,0.25
44,44|100|203|217,II,4,False,0.0,0.0,0.0,0.0,0.2376237623762376,1,L^C,0.125
45,45|75|89|101,III,4,True,1.0,0.937174420358688,0.004859047162808627,1.88,0.4916831683168316,1,1^L,0.25
46,46|116|139|209,II,4,True,1.0,0.8463862080300902,0.04078663476879697,1.0,0.4588118811881188,1,1^L,0.25
50,50|179,II,2,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^C,0.125
51,51,II,1,True,1.0,0.0,0.0,0.0,0.2376237623762376,1,1^C,0.0
