rule,t_start,duration,speed,start_position,end_position
110,0,8,0.5714,53.5,57.5
110,0,8,-0.5,166.0,162.5
110,0,9,-0.25,151.0,149.0
110,0,10,-0.7778,34.0,27.0
110,2,10,-0.0556,175.0,174.5
110,3,9,-0.8125,187.0,180.5
110,0,13,-0.7917,83.0,73.5
110,0,14,-0.1538,17.0,15.0
110,0,14,0.0385,134.5,135.0
110,0,14,-0.3846,192.0,187.0
110,0,15,-0.25,153.0,149.5
110,4,11,0.1,197.0,198.0
110,5,10,0.2778,129.0,131.5
110,7,8,-0.5714,50.0,46.0
110,4,12,-0.4091,169.0,164.5
110,0,17,-0.375,29.0,23.0
110,0,17,-0.8438,39.0,25.5
110,0,18,-0.3529,102.0,96.0
110,0,18,-0.1176,180.0,178.0
110,3,15,-0.25,113.0,109.5
110,3,16,-0.1667,74.0,71.5
110,0,20,-0.2368,44.0,39.5
110,2,18,-0.4118,6.0,200.0
110,11,9,0.0625,162.0,162.5
110,0,21,0.025,94.0,94.5
110,0,23,0.4545,7.5,17.5
110,0,23,0.0227,69.0,69.5
110,13,10,-0.6111,117.0,111.5
110,15,8,-0.8571,191.0,185.0
110,11,13,-0.6667,34.0,26.0
110,13,11,0.5,128.0,133.0
110,15,9,0.125,153.0,154.0
110,16,9,-0.8125,46.0,39.5
110,9,17,-0.5,161.0,153.0
110,11,15,-0.7143,143.0,133.0
110,0,27,-0.1538,50.0,46.0
110,15,12,0.5,62.0,67.5
110,18,9,0.0625,149.0,149.5
110,19,8,-0.5714,178.0,174.0
110,4,24,-0.5,106.0,94.5
110,12,18,0.5588,8.0,17.5
110,19,12,0.5,60.0,65.5
110,16,16,-0.5667,148.0,139.5
110,24,8,-0.4286,140.0,137.0
110,17,16,-0.2667,182.0,178.0
110,16,19,0.5,6.0,15.0
110,23,12,0.5,58.0,63.5
110,28,9,0.4375,74.0,77.5
110,9,29,0.2679,6.0,13.5
110,10,28,0.4074,126.0,137.0
110,0,39,0.1184,129.0,133.5
110,27,12,0.5,56.0,61.5
110,27,15,-0.0357,33.0,32.5
110,34,9,0.4375,56.0,59.5
110,0,44,0.3372,198.0,11.5
110,26,18,0.5588,118.0,127.5
110,32,12,0.5,72.0,77.5
110,24,21,-0.525,110.0,99.5
110,25,20,-0.4474,43.0,34.5
110,19,27,0.0385,91.0,92.0
110,31,16,0.2333,54.0,57.5
110,28,20,-0.6842,148.0,135.0
110,19,31,0.4333,118.0,131.0
110,23,27,-0.5577,116.0,101.5
110,39,11,0.0,19.0,19.0
110,41,9,-0.6875,144.0,138.5
110,30,21,0.575,116.0,127.5
110,35,16,0.4333,49.0,55.5
110,36,15,0.5357,70.0,77.5
110,8,44,-0.6395,62.0,34.5
110,0,53,-0.0962,22.5,17.5
110,38,15,-0.5357,148.0,140.5
110,43,12,0.5,48.0,53.5
110,38,18,0.5588,112.0,121.5
110,0,57,-0.125,88.0,81.0
110,33,24,-0.4348,29.0,19.0
110,47,10,-0.3889,92.0,88.5
110,40,18,0.5588,68.0,77.5
110,40,19,0.3056,46.0,51.5
110,51,9,-0.25,131.0,129.0
110,54,8,-0.8571,29.0,23.0
110,18,45,0.625,193.0,19.5
110,48,15,0.5357,42.0,49.5
110,48,15,0.5357,64.0,71.5
110,50,14,-0.5385,106.0,99.0
110,54,10,-0.2778,139.0,136.5
110,49,17,-0.125,135.0,133.0
110,55,12,0.5,42.0,47.5
110,58,9,-0.25,81.0,79.0
110,26,42,0.5488,186.0,7.5
110,34,34,0.4545,114.0,129.0
110,42,27,0.5962,110.0,125.5
110,57,14,-0.3077,94.0,90.0
110,62,9,0.4375,42.0,45.5
110,22,52,0.4216,191.0,11.5
110,53,21,0.575,108.0,119.5
110,19,57,-0.1964,108.0,97.0
110,52,24,0.587,62.0,75.5
110,67,11,-0.8,135.0,127.0
110,46,34,0.4545,108.0,123.0
110,61,19,-0.0278,29.0,28.5
110,57,24,0.587,106.0,119.5
110,60,21,0.575,58.0,69.5
110,56,28,0.4259,60.0,71.5
110,73,11,-0.2,21.0,19.0
110,65,21,0.575,102.0,113.5
110,78,9,0.0,25.0,25.0
110,77,11,-1.0,100.0,90.0
110,25,64,0.4603,193.0,21.0
110,44,45,0.1591,66.0,73.0
110,68,21,0.575,54.0,65.5
110,24,66,0.5154,185.0,17.5
110,81,9,-0.25,123.0,121.0
110,72,21,0.575,52.0,63.5
110,83,11,-0.5,99.0,94.0
110,84,10,-0.2778,131.0,128.5
110,82,13,-0.5,104.0,98.0
110,17,79,0.5769,171.0,15.0
110,69,27,-0.0192,95.0,94.5
110,79,17,-0.125,127.0,125.0
110,25,72,0.6408,167.0,11.5
110,40,57,0.0268,29.0,30.5
110,61,37,0.4722,104.0,121.0
110,64,35,0.3382,56.0,67.5
110,75,24,0.587,104.0,117.5
110,90,10,-0.1111,75.0,74.0
110,89,12,0.5,83.0,88.5
110,33,69,0.6397,163.0,5.5
110,86,17,-0.5938,81.0,71.5
110,88,16,0.0667,27.0,28.0
110,95,9,0.4375,108.0,111.5
110,96,10,-0.3889,100.0,96.5
110,29,79,0.5769,165.0,9.0
110,92,16,-0.5333,106.0,98.0
110,97,11,-0.8,127.0,119.0
110,10,99,0.3622,171.0,5.5
110,76,33,0.5938,50.0,69.0
110,56,54,0.1698,85.0,94.0
110,80,30,0.6034,48.0,65.5
110,85,25,0.375,106.0,115.0
110,93,18,0.5588,81.0,90.5
110,99,12,0.5,106.0,111.5
110,45,69,0.6471,157.0,0.0
110,88,27,0.5962,44.0,59.5
110,107,9,0.4375,81.0,84.5
110,109,9,-0.25,9.0,7.0
110,110,9,-0.25,69.0,67.0
110,90,30,0.1207,21.0,24.5
110,109,11,-0.8,100.0,92.0
110,111,9,-0.25,115.0,113.0
110,103,19,0.2778,83.0,88.0
110,112,10,-0.2778,17.0,14.5
110,111,12,0.5,79.0,84.5
110,107,17,-0.125,13.0,11.0
110,114,10,-0.2778,123.0,120.5
110,13,113,-0.4464,78.0,28.0
110,34,92,0.5714,156.0,7.0
110,109,17,-0.125,119.0,117.0
110,55,72,0.6408,159.0,3.5
110,100,27,-0.3846,81.0,71.0
110,115,12,0.5,19.0,24.5
110,109,19,0.2778,108.0,113.0
110,52,77,0.5921,157.0,1.0
110,117,12,0.5,104.0,109.5
110,49,83,0.561,155.0,0.0
110,123,9,-0.25,88.0,86.0
110,84,49,0.5208,46.0,71.0
110,42,92,0.4725,155.0,198.0
110,95,39,0.6184,44.0,67.5
110,118,16,0.4333,97.0,103.5
110,125,11,-1.0,36.0,26.0
110,126,10,-0.2778,96.0,93.5
110,121,17,-0.125,92.0,90.0
110,125,13,0.0833,21.0,22.0
110,127,11,-0.8,119.0,111.0
110,100,39,0.6184,38.0,61.5
110,106,34,0.0303,106.0,107.0
110,121,19,0.2778,81.0,86.0
110,57,84,0.6446,141.0,194.5
110,129,12,0.5,98.0,103.5
110,132,11,-1.0,79.0,69.0
110,25,119,0.3178,159.0,196.5
110,134,10,0.2778,10.0,12.5
110,92,53,0.4423,42.0,65.0
110,107,39,0.6184,38.0,61.5
110,132,15,-0.6786,36.0,26.5
110,139,9,-0.25,22.0,20.0
110,71,78,0.6429,141.0,190.5
110,141,9,-0.625,86.0,81.0
110,141,9,-0.25,107.0,105.0
110,121,30,0.6034,38.0,55.5
110,125,26,-0.7,13.0,196.5
110,139,13,-1.0,92.0,80.0
110,139,15,-0.6786,79.0,69.5
110,144,10,-0.2778,115.0,112.5
110,146,9,-0.25,65.0,63.0
110,75,81,0.6438,139.0,190.5
110,137,19,-0.1111,26.0,24.0
110,139,17,-0.125,111.0,109.0
110,139,19,0.2778,100.0,105.0
110,147,12,0.5,96.0,101.5
110,122,40,0.1282,19.0,24.0
110,154,8,-0.5714,75.0,71.0
110,114,49,0.5312,38.0,63.5
110,142,21,0.575,9.0,20.5
110,148,16,0.4333,89.0,95.5
110,67,98,0.5515,143.0,196.5
110,156,10,-0.2778,88.0,85.5
110,128,39,0.6184,38.0,61.5
110,153,14,-0.8462,80.0,69.0
110,147,21,0.575,3.0,14.5
110,157,11,-0.8,111.0,103.0
110,76,94,0.629,132.0,190.5
110,136,34,0.0303,98.0,99.0
110,159,12,0.5,90.0,95.5
110,161,11,-1.0,32.0,22.0
110,144,29,-0.125,69.0,65.5
110,139,35,0.3235,7.0,18.0
110,151,24,-0.2609,84.0,78.0
110,154,21,0.575,3.0,14.5
110,87,90,0.6461,133.0,190.5
110,139,39,0.6184,36.0,59.5
110,168,12,0.5,3.0,8.5
110,171,9,-0.25,99.0,97.0
110,135,46,0.5222,38.0,61.5
110,168,15,-0.6786,32.0,22.5
