rule,class,beta_exponent,r_squared,peak_frequency
0,I,0.0,0.0,0.0
1,II,-0.7301,0.0236,0.5
2,II,0.0,0.0,0.0
3,II,-0.2523,0.0314,0.5
4,II,0.0,0.0,0.0
5,II,-0.1482,0.0131,0.45
6,II,-0.9459,0.0259,0.4
7,II,0.0,0.0,0.0
8,I,0.0,0.0,0.0
9,II,0.216,0.0041,0.2
10,II,0.0,0.0,0.0
11,II,0.0,0.0,0.0
12,II,0.0,0.0,0.0
13,II,0.0,0.0,0.0
14,II,0.0,0.0,0.0
15,II,0.0,0.0,0.0
18,III,0.0358,0.0019,0.2405
19,II,0.0,0.0,0.0
22,III,-0.4463,0.099,0.482375
23,II,0.0,0.0,0.0
24,II,0.0,0.0,0.0
25,II,-0.3219,0.0534,0.283375
26,II,-0.2394,0.0012,0.5
27,II,-0.3912,0.0163,0.45
28,II,0.0857,0.0128,0.5
29,II,-0.4905,0.0315,0.5
30,III,0.1276,0.0126,0.12625
32,I,0.0,0.0,0.0
33,II,-0.3176,0.017,0.45
34,II,0.0,0.0,0.0
35,II,0.1267,0.027,0.4
36,II,0.0,0.0,0.0
37,II,-0.8124,0.0239,0.4
38,II,-0.0831,0.0053,0.4
40,I,0.0,0.0,0.0
41,II,0.0316,0.007,0.475
42,II,0.0,0.0,0.0
43,II,0.0,0.0,0.0
44,II,0.0,0.0,0.0
45,III,0.0818,0.0041,0.24625
46,II,0.0,0.0,0.0
50,II,0.0,0.0,0.0
51,II,0.0,0.0,0.0
54,IV,0.6704,0.1024,0.44825
56,II,0.0,0.0,0.0
57,II,0.0,0.0,0.0
58,II,0.0,0.0,0.0
60,III,0.0,0.0,0.0
62,II,-0.8843,0.2988,0.367
72,II,0.0,0.0,0.0
73,II,0.0748,0.0077,0.44925
74,II,-0.4427,0.0257,0.35
76,II,0.0,0.0,0.0
77,II,0.0,0.0,0.0
78,II,0.0,0.0,0.0
90,III,0.0,0.0,0.0
94,II,-1.0357,0.1993,0.450125
104,II,0.0,0.0,0.0
105,III,0.0,0.0,0.0
106,IV,0.3418,0.0645,0.05325
108,II,0.0131,0.0186,0.4
110,IV,0.2477,0.0277,0.175375
122,III,-0.5674,0.1423,0.4225
126,III,-0.1913,0.0262,0.411
128,I,0.0,0.0,0.0
130,III,0.0,0.0,0.0
132,II,0.0,0.0,0.0
134,II,-0.9621,0.0224,0.45
136,I,0.0,0.0,0.0
138,II,0.0,0.0,0.0
140,II,0.0,0.0,0.0
142,II,0.0,0.0,0.0
146,III,0.1074,0.0075,0.234
150,III,0.0,0.0,0.0
152,II,0.0,0.0,0.0
154,II,-0.1637,0.0008,0.475
156,II,-0.8287,0.0304,0.5
160,I,0.0,0.0,0.0
162,II,0.0,0.0,0.0
164,II,0.0,0.0,0.0
168,I,0.0,0.0,0.0
170,II,0.0,0.0,0.0
172,II,0.0,0.0,0.0
178,II,0.0,0.0,0.0
184,II,0.0,0.0,0.0
200,II,0.0,0.0,0.0
204,II,0.0,0.0,0.0
232,II,0.0,0.0,0.0
